date,rate of arrest
post,2020-09-11,0.14
post,2020-09-12,0.15827338129496402
post,2020-09-13,0.11418685121107267
post,2020-09-14,0.10652920962199312
post,2020-09-15,0.10186757215619695
post,2020-09-16,0.1437908496732026
post,2020-09-17,0.14476190476190476
post,2020-09-18,0.12259194395796848
post,2020-09-19,0.140893470790378
post,2020-09-20,0.125
post,2020-09-21,0.16152450090744103
post,2020-09-22,0.12921348314606743
post,2020-09-23,0.14838709677419354
post,2020-09-24,0.15845070422535212
post,2020-09-25,0.14501510574018128
post,2020-09-26,0.14378029079159935
post,2020-09-27,0.11638591117917305
post,2020-09-28,0.13568773234200743
post,2020-09-29,0.13861386138613863
post,2020-09-30,0.13580246913580246
post,2020-10-01,0.1206581352833638
post,2020-10-02,0.12476722532588454
post,2020-10-03,0.12876254180602006
post,2020-10-04,0.12283737024221453
post,2020-10-05,0.1619217081850534
post,2020-10-06,0.1386986301369863
post,2020-10-07,0.11241610738255034
post,2020-10-08,0.13443830570902393
post,2020-10-09,0.14728682170542637
post,2020-10-10,0.15053763440860216
post,2020-10-11,0.1289308176100629
post,2020-10-12,0.11669658886894076
post,2020-10-13,0.13080895008605853
post,2020-10-14,0.11363636363636363
post,2020-10-15,0.1518578352180937
post,2020-10-16,0.12316176470588236
post,2020-10-17,0.13410596026490065
post,2020-10-18,0.14417744916820702
post,2020-10-19,0.11368015414258188
post,2020-10-20,0.1297709923664122
post,2020-10-21,0.15696649029982362
post,2020-10-22,0.12563667232597622
post,2020-10-23,0.13893967093235832
post,2020-10-24,0.15514018691588785
post,2020-10-25,0.1553398058252427
post,2020-10-26,0.11007462686567164
post,2020-10-27,0.12981744421906694
post,2020-10-28,0.13725490196078433
post,2020-10-29,0.12410071942446044
post,2020-10-30,0.12478920741989882
post,2020-10-31,0.145
